JobID,DateTime,LabelColumn,ModelTrainingTime,Description,ColumnRemoved,Algorithm,Seed,Iterations,MaxBinNumber,LearningRate,GeometricMean,MCCMetric,F1ScoreMetric,AucPrecisionRecallMetric,PositivePrecisionMetric,PositiveRecallMetric,NegativePrecisionMetric,NegativeRecallMetric
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.19,Removed: SluggingPct,SluggingPct,Gam,100,22192,567,0.0017,0.686,0.7929,0.7044,0.7944,0.7869,0.639,0.9685,0.9846
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,54.32,Removed: AllStarAppearances,AllStarAppearances,Gam,100,22192,567,0.0017,0.6892,0.793,0.7069,0.7954,0.7935,0.6387,0.9685,0.9852
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,54.8,Removed: MVPs,MVPs,Gam,100,22192,567,0.0017,0.6911,0.798,0.7098,0.7959,0.7873,0.6474,0.9692,0.9845
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.86,Removed: TripleCrowns,TripleCrowns,Gam,100,22192,567,0.0017,0.6898,0.7979,0.7088,0.7954,0.7847,0.6474,0.9692,0.9842
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,54.98,Removed: GoldGloves,GoldGloves,Gam,100,22192,567,0.0017,0.6814,0.7907,0.7004,0.7949,0.7815,0.6356,0.9683,0.9842
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,56.37,Removed: MajorLeaguePlayerOfTheYearAwards,MajorLeaguePlayerOfTheYearAwards,Gam,100,22192,567,0.0017,0.689,0.7979,0.7082,0.7952,0.7832,0.6474,0.9692,0.9841
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,54.6,Removed: TB,TB,Gam,100,22192,567,0.0017,0.6916,0.7982,0.7101,0.7946,0.7882,0.6476,0.9692,0.9845
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,56.25,Removed: TotalPlayerAwards,TotalPlayerAwards,Gam,100,22192,567,0.0017,0.672,0.7818,0.6906,0.7813,0.7792,0.6213,0.967,0.9844
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.58,Baseline,Baseline,Gam,100,5476,161,0.0005,0.6645,0.7777,0.6835,0.7507,0.7717,0.6152,0.9665,0.9838
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.23,Removed: YearsPlayed,YearsPlayed,Gam,100,5476,161,0.0005,0.6528,0.7699,0.6724,0.7382,0.7622,0.6033,0.9655,0.9832
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.39,Removed: AB,AB,Gam,100,5476,161,0.0005,0.662,0.774,0.6805,0.7478,0.7736,0.6094,0.966,0.9841
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.01,Removed: R,R,Gam,100,5476,161,0.0005,0.665,0.7776,0.6838,0.7488,0.7729,0.6151,0.9665,0.9839
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.25,Removed: H,H,Gam,100,5476,161,0.0005,0.6598,0.7715,0.678,0.7487,0.7739,0.6053,0.9657,0.9842
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.17,Removed: Doubles,Doubles,Gam,100,5476,161,0.0005,0.6663,0.7777,0.6848,0.7506,0.7757,0.6151,0.9665,0.9841
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.31,Removed: Triples,Triples,Gam,100,5476,161,0.0005,0.664,0.7767,0.6829,0.7456,0.7725,0.6135,0.9664,0.9839
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.23,Removed: HR,HR,Gam,100,5476,161,0.0005,0.6562,0.772,0.6754,0.7535,0.7654,0.6066,0.9658,0.9834
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.17,Removed: RBI,RBI,Gam,100,5476,161,0.0005,0.6574,0.7711,0.676,0.7508,0.7695,0.605,0.9656,0.9839
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.14,Removed: SB,SB,Gam,100,5476,161,0.0005,0.6627,0.7783,0.6822,0.7519,0.7666,0.6166,0.9666,0.9832
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.32,Removed: BattingAverage,BattingAverage,Gam,100,5476,161,0.0005,0.6631,0.776,0.6818,0.7533,0.7723,0.6125,0.9663,0.9839
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.34,Removed: SluggingPct,SluggingPct,Gam,100,5476,161,0.0005,0.6654,0.7785,0.6845,0.7526,0.7721,0.6165,0.9666,0.9838
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.12,Removed: AllStarAppearances,AllStarAppearances,Gam,100,5476,161,0.0005,0.6647,0.7809,0.6847,0.7538,0.7655,0.6208,0.9669,0.9831
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.11,Removed: MVPs,MVPs,Gam,100,5476,161,0.0005,0.665,0.7785,0.6842,0.7466,0.7713,0.6163,0.9666,0.9837
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,13.48,Removed: TripleCrowns,TripleCrowns,Gam,100,5476,161,0.0005,0.6655,0.7786,0.6846,0.7507,0.7721,0.6166,0.9666,0.9838
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,12.98,Removed: GoldGloves,GoldGloves,Gam,100,5476,161,0.0005,0.6653,0.7801,0.6849,0.7557,0.7687,0.6191,0.9668,0.9834
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,14.1,Removed: MajorLeaguePlayerOfTheYearAwards,MajorLeaguePlayerOfTheYearAwards,Gam,100,5476,161,0.0005,0.6645,0.7777,0.6835,0.7507,0.7717,0.6152,0.9665,0.9838
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,14.34,Removed: TB,TB,Gam,100,5476,161,0.0005,0.6613,0.7734,0.6797,0.7495,0.7736,0.6083,0.9659,0.9841
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,14.66,Removed: TotalPlayerAwards,TotalPlayerAwards,Gam,100,5476,161,0.0005,0.6567,0.7706,0.6756,0.7449,0.7688,0.604,0.9655,0.9839
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,61.18,Baseline,Baseline,Gam,100,23761,605,0.0018,0.6893,0.7963,0.7079,0.7966,0.7873,0.6445,0.969,0.9845
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,60.68,Removed: YearsPlayed,YearsPlayed,Gam,100,23761,605,0.0018,0.6771,0.7834,0.6951,0.7766,0.7871,0.6233,0.9672,0.985
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,59.9,Removed: AB,AB,Gam,100,23761,605,0.0018,0.6904,0.7973,0.709,0.7961,0.7874,0.6462,0.9691,0.9845
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,61.07,Removed: R,R,Gam,100,23761,605,0.0018,0.6896,0.7975,0.7083,0.7973,0.7854,0.6468,0.9692,0.9842
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,59.95,Removed: H,H,Gam,100,23761,605,0.0018,0.6874,0.7944,0.7059,0.7965,0.7869,0.6416,0.9688,0.9845
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,60.99,Removed: Doubles,Doubles,Gam,100,23761,605,0.0018,0.6926,0.7996,0.7111,0.7935,0.7878,0.65,0.9695,0.9844
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,60.51,Removed: Triples,Triples,Gam,100,23761,605,0.0018,0.6921,0.794,0.7094,0.7958,0.7979,0.6402,0.9687,0.9855
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,59.76,Removed: HR,HR,Gam,100,23761,605,0.0018,0.6846,0.7928,0.7034,0.7945,0.7838,0.6391,0.9685,0.9843
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,59.92,Removed: RBI,RBI,Gam,100,23761,605,0.0018,0.6938,0.8014,0.7126,0.7945,0.7866,0.6529,0.9697,0.9842
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,59.98,Removed: SB,SB,Gam,100,23761,605,0.0018,0.6944,0.7973,0.7121,0.7968,0.7959,0.6458,0.9691,0.9852
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,60.48,Removed: BattingAverage,BattingAverage,Gam,100,23761,605,0.0018,0.6864,0.7945,0.7051,0.797,0.7847,0.6417,0.9688,0.9844
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,59.81,Removed: SluggingPct,SluggingPct,Gam,100,23761,605,0.0018,0.6815,0.7899,0.7001,0.7949,0.7834,0.6343,0.9682,0.9844
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,58.64,Removed: AllStarAppearances,AllStarAppearances,Gam,100,23761,605,0.0018,0.6886,0.7913,0.706,0.7962,0.7957,0.6358,0.9683,0.9855
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,59.72,Removed: MVPs,MVPs,Gam,100,23761,605,0.0018,0.69,0.7963,0.7085,0.797,0.7885,0.6445,0.969,0.9846
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,60.08,Removed: TripleCrowns,TripleCrowns,Gam,100,23761,605,0.0018,0.6893,0.7963,0.7079,0.7968,0.7873,0.6445,0.969,0.9845
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,58.92,Removed: GoldGloves,GoldGloves,Gam,100,23761,605,0.0018,0.6824,0.7909,0.7012,0.7957,0.7831,0.6359,0.9683,0.9844
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,61.3,Removed: MajorLeaguePlayerOfTheYearAwards,MajorLeaguePlayerOfTheYearAwards,Gam,100,23761,605,0.0018,0.6893,0.7963,0.7079,0.7966,0.7873,0.6445,0.969,0.9845
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,58.85,Removed: TB,TB,Gam,100,23761,605,0.0018,0.6899,0.7955,0.7081,0.7958,0.7899,0.6431,0.9689,0.9847
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,60.23,Removed: TotalPlayerAwards,TotalPlayerAwards,Gam,100,23761,605,0.0018,0.6676,0.7781,0.6862,0.781,0.7774,0.6155,0.9665,0.9844
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,17.6,Baseline,Baseline,Gam,100,7046,199,0.0006,0.6636,0.7794,0.6834,0.757,0.7663,0.6182,0.9667,0.9832
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,17.14,Removed: YearsPlayed,YearsPlayed,Gam,100,7046,199,0.0006,0.658,0.7754,0.678,0.7437,0.7621,0.6122,0.9662,0.983
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,17.16,Removed: AB,AB,Gam,100,7046,199,0.0006,0.6664,0.7795,0.6854,0.7552,0.7723,0.6182,0.9667,0.9837
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,17.16,Removed: R,R,Gam,100,7046,199,0.0006,0.6688,0.7838,0.6884,0.756,0.7689,0.6252,0.9673,0.9832
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,17.18,Removed: H,H,Gam,100,7046,199,0.0006,0.6588,0.775,0.6784,0.7558,0.7648,0.6114,0.9661,0.9832
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,17.4,Removed: Doubles,Doubles,Gam,100,7046,199,0.0006,0.6645,0.7795,0.6841,0.7574,0.7682,0.6182,0.9667,0.9834
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,17.06,Removed: Triples,Triples,Gam,100,7046,199,0.0006,0.6658,0.7794,0.6851,0.7516,0.7712,0.618,0.9667,0.9836
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,16.97,Removed: HR,HR,Gam,100,7046,199,0.0006,0.6649,0.7802,0.6844,0.7589,0.7675,0.6197,0.9668,0.9832
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,16.98,Removed: RBI,RBI,Gam,100,7046,199,0.0006,0.6671,0.7817,0.6865,0.7572,0.7691,0.6222,0.9671,0.9834
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,16.71,Removed: SB,SB,Gam,100,7046,199,0.0006,0.664,0.7811,0.6841,0.7582,0.7639,0.6213,0.9669,0.9829
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,16.83,Removed: BattingAverage,BattingAverage,Gam,100,7046,199,0.0006,0.6583,0.7757,0.6782,0.758,0.7623,0.6127,0.9662,0.983
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,16.76,Removed: SluggingPct,SluggingPct,Gam,100,7046,199,0.0006,0.6623,0.7793,0.6825,0.758,0.7637,0.6182,0.9667,0.983
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,17.01,Removed: AllStarAppearances,AllStarAppearances,Gam,100,7046,199,0.0006,0.6698,0.7853,0.6898,0.758,0.7677,0.6278,0.9675,0.9831
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,17.09,Removed: MVPs,MVPs,Gam,100,7046,199,0.0006,0.6638,0.7801,0.6838,0.753,0.7652,0.6194,0.9668,0.9831
